Compensation of employees,Household final consumption expenditure
374212.00,96229.00
376136.00,96236.00
378680.00,98525.00
382476.00,99177.00
385104.00,99298.00
386156.00,99907.00
389180.00,100699.00
390964.00,101973.00
392728.00,102814.00
394972.00,103731.00
395812.00,104686.00
397616.00,105784.00
398064.00,107036.00
400212.00,108401.00
406644.00,108756.00
410140.00,109827.00
413544.00,111484.00
416924.00,111791.00
419392.00,113147.00
423404.00,114526.00
424792.00,114771.00
425488.00,116708.00
427936.00,117805.00
432904.00,118716.00
440640.00,121342.00
445044.00,123656.00
452520.00,125156.00
462572.00,126987.00
465160.00,128594.00
471780.00,128919.00
478508.00,130845.00
483120.00,132079.00
490476.00,132884.00
493916.00,135093.00
502224.00,137094.00
510992.00,139578.00
521372.00,141744.00
533900.00,143884.00
550864.00,145903.00
558748.00,148957.00
564580.00,150284.00
570652.00,151594.00
573432.00,153649.00
575612.00,154118.00
579484.00,155818.00
586464.00,158646.00
592396.00,162097.00
600148.00,164167.00
609604.00,166695.00
614400.00,168235.00
616520.00,169357.00
622344.00,171775.00
631568.00,171840.00
642544.00,175190.00
654036.00,177340.00
662556.00,179268.00
667896.00,181142.00
676436.00,184591.00
687544.00,187126.00
699376.00,189385.00
710392.00,191311.00
720152.00,194786.00
733120.00,197264.00
744460.00,199875.00
755320.00,201717.00
769332.00,205302.00
781976.00,209337.00
787436.00,211646.00
796976.00,215744.00
810872.00,218325.00
820104.00,220171.00
824156.00,222118.00
823776.00,217895.00
813524.00,216580.00
808560.00,218407.00
809620.00,221608.00
816588.00,225100.00
822220.00,227877.00
831500.00,229860.00
841988.00,232683.00
855024.00,236300.00
871464.00,238139.00
877708.00,240783.00
886260.00,242665.00
896748.00,245497.00
906596.00,247417.00
918772.00,248297.00
930300.00,250115.00
937984.00,252224.00
949648.00,255256.00
955104.00,258142.00
964012.00,261208.00
975952.00,263480.00
983524.00,266420.00
993724.00,270515.00
1006504.00,273297.00
1010100.00,276021.00
1021492.00,276316.00
1027372.00,278551.00
1028580.00,282392.00
1029940.00,284820.00
1020836.00,285296.00
1022816.00,286760.00
1026748.00,289033.00
1035532.00,292579.00
1046532.00,296967.00
1058860.00,301062.00
1078692.00,303541.00
1095740.00,307583.00
1113528.00,310913.00
1120540.00,313641.00
1129912.00,316853.00
1143812.00,317681.00
1153540.00,320589.00
1169452.00,323530.00
1184152.00,325991.00
1199784.00,329197.00
1185276.00,323681.00
1083748.00,276180.00
1167340.00,315043.00
1196668.00,316245.00